刘峰,686
丁丁,235
郝淑雯,102
女人,45
父亲,43
何小嫚,155
女兵,35
女儿,29
身体,29
侄子,28
驾驶员,27
发现,25
告诉,24
看着,24
男兵,23
明白,22
不知,22
沙发,22
刘倩,21
平凡,21
标兵,230
孩子,19
地方,18
触摸,108
想到,17
眼睛,17
老百姓,16
所有人,16
丈夫,16
包扎,16
回来,15
想象,15
老师,15
故事,15
红楼,15
找到,15
干事,15
红苕,14
笑笑,14
照片,14
发生,13
秘密,13
小林,13
老家,13
小时,13
跟头,12
年轻,12
人性,12
回到,12
老板,12
毯子,12
生意,12
来到,11
老太太,11
等待,11
人格,11
好人,111
穗子,11
排练,11
生命,11
甜饼,11
出卖,10
首长,10
好像,10
时间,10
事件,10
电话,10
女朋友,10
括弧,10
军装,10
感到,10
院子,10
见到,10
跟着,10
梆子,9
卡车,9
爸爸,9
剧团,9
人群,9
落后,9
前线,9
公司,9
说话,9
不想,9
连队,9
发廊,9
碰到,9
事儿,9
奖品,9
牺牲,9
房间,9
感觉,9
城管,8
刘大哥,8
伤员,108
工作,8
衬衫,8
母亲,8
全军,8
目光,8
部队,8
茶缸,8
走廊,8
表弟,8
接下去,8
红蚁,8
活儿,8
士兵,8
新兵,8
入党,8
报告,8
汽车,8
伙食,8
肩膀,8
手艺,8
舞蹈,108
文件,7
串门,7
欺负,7
堂叔,7
轿车,7
善良,7
拿出,7
翻跟头,7
放在,7
世界,7
伐木,7
叔叔,7
同情,7
地板,7
冬青,7
好看,7
医院,7
库房,7
酒店,7
男女,7
听说,7
宿舍,7
记得,7
地址,7
救命,7
带路,7
眼线,7
大娘,7
老战友,7
是从,7
没了,7
镜子,7
排练厅,7
战友,7
坐在,7
无耻,7
不错,7
小郝,7
离开,7
领导,7
灵台,6
放进,6
舞蹈队,6
悲哀,6
回去,6
小汽车,6
房子,6
大会,6
条件,6
批判,6
惠雅玲,6
路灯,6
甜品,6
口音,6
想起,6
肯定,6
唱歌,6
组织,6
演员,6
关系,6
父母,6
露出,6
活着,6
日子,6
啤酒,6
穿着,6
床上,6
摇摇头,6
驾驶舱,6
炊事班,6
参观,6
个头儿,6
板凳,6
男人,6
小说,6
不该,6
模范,6
学雷锋,106
同屋,6
打开,6
意外,6
专注,6
女子,6
操场,6
动作,6
声乐,6
帮忙,6
头发,6
衣服,6
中提琴手,6
打靶,6
正好,6
麻烦,6
结婚,6
女孩儿,6
军区,6
手机,6
名字,6
红色,6
踢腿,5
天生,5
包裹,5
渔民,5
追悼会,5
幸福,5
边境,5
急救,5
保卫,5
老公,5
糟蹋,5
结束,5
老头儿,5
卫生带,5
妹妹,5
后果,5
不到,5
萨其马,5
接受,5
邻居,5
显得,5
只能,5
军人,5
意识,5
战士,5
味儿,5
通知,5
样子,5
接到,5
自由,5
推开,5
爆发,5
发出,5
证明,5
昏迷,5
叫喊,5
掏出,5
小徐,5
独唱,5
政治,5
箱子,5
追求,5
巷子,5
生活,5
编造,5
咋呼,5
烈士陵园,5
肌肤,5
教导员,5
等于,5
文工团,105
土黄色,5
吃饭,5
友谊商店,5
行李袋,5
答应,5
工兵营,5
情书,5
写字台,5
班长,5
离婚,105
免费,5
营房,5
歌声,5
排球场,5
留下,5
办法,5
血泡,5
检查,5
转过身,5
功课,5
榔头,5
看成,5
像是,5
钥匙,5
下放,105
食堂,5
弹药,5
指望,5
不行,5
距离,5
开口,5
副司令,5
出门,5
错过,5
集体,5
岁数,5
压制,5
回家,5
带来,5
希望,5
打听,4
送到,4
小日子,4
普通话,4
回忆,4
两居室,4
训练,4
提出,4
当成,4
参加,4
收到,4
负责,4
放心,4
真情,4
皮包,4
真话,4
儿子,4
子弹,4
完美,4
烟头,4
拉开,4
浑身,4
王府井,4
给养,4
嫁给,4
党员,4
妻子,4
态度,4
副政委,4
搬运,4
危险,4
化疗,4
熟人,4
分析,4
带到,4
短信,4
老刘,4
承认,4
朋友,4
侄媳,4
没见,4
平民,4
姨太太,4
高度,4
不见,4
英模,4
上班,4
成就,4
花生,4
喊救命,4
糊涂,4
玩儿,4
歌乐山,4
流行,4
见面,4
焦虑,4
意义,4
招呼,4
局部,4
玻璃,4
弹坑,4
右手,104
核心,4
事物,4
缺乏,4
行军,4
男孩儿,4
说不出,4
坏话,4
喝酒,4
吉普,4
对象,4
花卉,4
走路,4
可爱,4
阴暗,4
范儿,4
结实,4
起身,4
眼泪,4
摄影,4
太久,4
老娘,4
窗户,4
客人,4
高尚,4
客厅,4
背心,4
羞涩,4
人员,4
平淡,4
陌生,4
道具,4
住院,4
老乡,4
消息,4
恋爱,4
伸出,4
老子,4
神秘,4
单臂,4
失望,4
精神科,4
住处,4
闲饭,4
军帽,4
演出,54
小病,4
床单,4
推举,4
水桶,4
起床,4
背叛,4
听到,4
茅坑,4
军队,4
练功,4
合算,4
视野,4
说起,4
生病,4
收缴,4
老花镜,3
队列,3
卫生纸,3
相隔,3
蛋子,3
血污,3
混乱,3
警戒,3
跳板,3
布料,3
打算,3
扭头,3
创造,3
实在,3
表现,3
吃屎,3
封闭,3
大门,3
零食,3
陪伴,3
成功,3
胃口,3
叫作,3
黑色,3
漫长,3
干净,3
住址,3
伺候,3
野战医院,3
健康,3
私人,3
胃气,3
警告,3
二楼,3
护士,3
发自,3
脱离,3
难看,3
走出,3
感情,3
修建,3
面包圈,3
空空,3
关门,3
大胆,3
老实巴交,3
舞台,3
下巴,3
空间,3
单眼皮,193
值得,3
描述,3
小丫头,3
脊梁,3
调到,3
野战军,103
危楼,3
不易,3
没错,3
跑操,3
茶几,3
练功房,3
老唐,3
车间,3
看望,3
对付,3
来得,3
残废,103
皮肤,3
提溜,3
